@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
6733,'2016/09/28 23:46:37:778',29,1.259445,-0.665973,-0.376751,-0.345474,0.66937,-0.700337,-0.015717,0.063492,0.031005,0.137859,0.304953,0.223609,0.14999,1
6734,'2016/09/28 23:46:37:794',29,1.299868,-0.797404,-0.286253,-0.343594,0.602526,-0.68048,0.025727,-0.009286,0.075199,0.053541,0.37599,0.129885,0.206782,1
6735,'2016/09/28 23:46:37:811',29,1.292308,-0.738309,-0.255977,-0.451996,0.733855,-0.679265,-0.042614,0.070624,0.094523,0.058266,0.350479,0.212927,0.17297,1
6736,'2016/09/28 23:46:37:828',29,1.379929,-0.751421,-0.274325,-0.301836,0.663004,-0.655235,0.00551,0.067415,0.011271,0.081521,0.401714,0.094817,0.261981,1
6737,'2016/09/28 23:46:37:845',29,1.292196,-0.666019,-0.297025,-0.306985,0.643114,-0.596005,-0.074499,0.108446,0.005847,0.057465,0.368081,0.165473,0.15391,1
6738,'2016/09/28 23:46:37:861',29,1.261249,-0.700134,-0.272007,-0.400673,0.65329,-0.603682,-0.124206,0.117004,0.007993,0.085424,0.288837,0.194731,0.184664,1
6739,'2016/09/28 23:46:37:878',29,1.332848,-0.798628,-0.183022,-0.405019,0.661107,-0.640107,-0.031267,0.089797,-0.001119,0.146881,0.307174,0.16956,0.199877,1
6740,'2016/09/28 23:46:37:895',29,1.295604,-0.652924,-0.303707,-0.325997,0.640395,-0.630018,-0.026867,0.065467,0.053704,0.165083,0.250413,0.199572,0.188201,1
6741,'2016/09/28 23:46:37:912',29,1.344721,-0.752268,-0.213513,-0.399805,0.689037,-0.649928,-0.021238,0.038778,0.112197,0.103624,0.287895,0.218214,0.145798,1
6742,'2016/09/28 23:46:37:928',29,1.290055,-0.677452,-0.279468,-0.405171,0.647487,-0.588127,-0.049151,-0.011578,0.122975,0.157497,0.217924,0.19093,0.252888,1
6743,'2016/09/28 23:46:37:946',29,1.29919,-0.658051,-0.296178,-0.414641,0.695081,-0.647236,-0.059802,0.033926,0.087,0.101545,0.259979,0.158398,0.208019,1
6744,'2016/09/28 23:46:37:962',29,1.284621,-0.728293,-0.163568,-0.438135,0.644169,-0.528285,-0.140609,0.066543,0.138364,0.089889,0.209074,0.348029,0.064301,1
6745,'2016/09/28 23:46:37:978',29,1.342805,-0.703321,-0.202891,-0.44528,0.695773,-0.538932,-0.119016,0.055097,0.120244,0.082447,0.25427,0.257146,0.196117,1
6746,'2016/09/28 23:46:37:995',29,1.293787,-0.642057,-0.246691,-0.520018,0.861803,-0.675381,-0.099501,0.075758,0.099216,0.054618,0.240912,0.2993,0.134706,1
6747,'2016/09/28 23:46:38:012',29,1.262896,-0.654283,-0.317341,-0.470335,0.734275,-0.647863,-0.067242,0.03397,0.09476,0.065903,0.284751,0.276342,0.10892,1
6748,'2016/09/28 23:46:38:028',29,1.328158,-0.803864,-0.208507,-0.460987,0.64306,-0.570127,-0.117743,0.171833,-0.053633,0.147758,0.290241,0.268376,0.127686,1
6749,'2016/09/28 23:46:38:045',29,1.368634,-0.671764,-0.311467,-0.431865,0.673451,-0.586234,-0.019724,-0.003872,0.108452,0.066107,0.277667,0.275659,0.120074,1
6750,'2016/09/28 23:46:38:062',29,1.324295,-0.720397,-0.146148,-0.526912,0.614787,-0.471618,-0.083157,0.039896,0.042741,0.184784,0.226708,0.245037,0.15123,1
6751,'2016/09/28 23:46:38:078',29,1.289238,-0.588176,-0.288326,-0.470918,0.637262,-0.530303,-0.088685,0.08505,0.026782,0.128702,0.254823,0.299189,0.05048,1
6752,'2016/09/28 23:46:38:095',29,1.392175,-0.790568,-0.206872,-0.497431,0.615336,-0.535205,-0.1433,0.131148,0.002884,0.110332,0.302536,0.256829,0.105213,1
6753,'2016/09/28 23:46:38:111',29,1.293483,-0.685918,-0.23729,-0.452734,0.575577,-0.494402,-0.13778,0.107341,0.01321,0.136748,0.238325,0.318468,0.082978,1
6754,'2016/09/28 23:46:38:128',29,1.258793,-0.631241,-0.21951,-0.394877,0.637856,-0.56321,-0.011568,0.011503,0.087987,0.029816,0.326529,0.250048,0.128789,1
6755,'2016/09/28 23:46:38:144',29,1.361816,-0.74815,-0.21992,-0.374499,0.643264,-0.544113,-0.099855,0.087247,0.10088,-0.037041,0.33901,0.315928,0.056609,1
6756,'2016/09/28 23:46:38:161',29,1.308623,-0.729381,-0.209348,-0.490939,0.683931,-0.59654,-0.134631,0.135845,0.046675,0.0352,0.297715,0.2625,0.114561,1
6757,'2016/09/28 23:46:38:178',29,1.251024,-0.66535,-0.242707,-0.432006,0.567917,-0.450451,-0.187486,0.07763,0.12618,0.104951,0.201309,0.275414,0.192009,1
6758,'2016/09/28 23:46:38:194',29,1.258022,-0.649017,-0.178358,-0.484026,0.691227,-0.58851,-0.072299,0.062677,0.072138,0.138372,0.141985,0.363177,0.078894,1
6759,'2016/09/28 23:46:38:211',29,1.331025,-0.680649,-0.147857,-0.542683,0.709323,-0.52898,-0.150427,0.104068,0.082833,0.092876,0.240895,0.263067,0.121601,1
6760,'2016/09/28 23:46:38:227',29,1.257164,-0.620465,-0.211423,-0.520974,0.688686,-0.534873,-0.138462,0.051046,0.153427,0.074201,0.239852,0.307472,0.116961,1
6761,'2016/09/28 23:46:38:245',29,1.283271,-0.645483,-0.20881,-0.455661,0.71702,-0.591985,-0.095879,0.028941,0.167062,0.04552,0.250811,0.353424,0.072399,1
6762,'2016/09/28 23:46:38:262',29,1.28405,-0.659603,-0.128929,-0.410801,0.632027,-0.508788,-0.079455,0.032685,0.078933,0.060803,0.269588,0.250779,0.178249,1
6763,'2016/09/28 23:46:38:278',29,1.276942,-0.781063,-0.127001,-0.467271,0.648513,-0.599613,-0.01323,0.052799,0.121816,-0.029153,0.275504,0.29197,0.072675,1
6764,'2016/09/28 23:46:38:295',29,1.299921,-0.757495,-0.211987,-0.480076,0.654426,-0.565678,0.021973,0.027617,0.126935,0.029842,0.230149,0.309819,0.088184,1
6765,'2016/09/28 23:46:38:312',29,1.293191,-0.755931,-0.191394,-0.462236,0.63575,-0.447315,-0.095671,0.106824,0.104729,0.039215,0.234681,0.304763,0.073956,1
6766,'2016/09/28 23:46:38:328',29,1.278384,-0.775837,-0.199788,-0.52468,0.670832,-0.505539,0.014706,0.069193,0.04468,0.090676,0.245875,0.255696,0.105548,1
6767,'2016/09/28 23:46:38:345',29,1.238858,-0.825178,-0.123678,-0.550489,0.618705,-0.488747,-0.043364,0.108464,0.034611,0.106765,0.200111,0.301701,0.092433,1
6768,'2016/09/28 23:46:38:361',29,1.165261,-0.720957,-0.129392,-0.529103,0.710481,-0.528415,-0.018155,0.089857,0.141958,0.082817,0.207715,0.336725,0.138359,1
6769,'2016/09/28 23:46:38:378',29,1.290597,-0.794764,-0.07907,-0.47784,0.6781,-0.523304,-0.055363,0.176802,-0.013603,0.116842,0.228991,0.257475,0.12513,1
6770,'2016/09/28 23:46:38:395',29,1.240709,-0.799964,-0.087772,-0.472881,0.665903,-0.520088,-0.060987,0.090778,0.023149,0.126892,0.209774,0.306401,0.119978,1
6771,'2016/09/28 23:46:38:411',29,1.221325,-0.789797,-0.077119,-0.537314,0.724055,-0.553702,-0.029654,0.058321,0.14862,0.039461,0.241873,0.36969,0.061604,1
6772,'2016/09/28 23:46:38:428',29,1.210822,-0.683855,-0.201937,-0.510871,0.704429,-0.538691,-0.08636,0.10651,0.116651,0.096802,0.181476,0.366364,0.093258,1
6773,'2016/09/28 23:46:38:445',29,1.296627,-0.800846,-0.142251,-0.530397,0.714032,-0.547996,-0.054579,0.054082,0.106416,0.07012,0.232337,0.255968,0.17826,1
6774,'2016/09/28 23:46:38:461',29,1.270963,-0.799202,-0.136921,-0.47348,0.641216,-0.552743,-0.061411,0.174699,-0.010919,0.134476,0.229908,0.28075,0.114174,1
6775,'2016/09/28 23:46:38:478',29,1.219774,-0.686784,-0.173202,-0.494654,0.734461,-0.589901,0.048725,0.03198,0.111853,0.075752,0.240261,0.331075,0.113352,1
6776,'2016/09/28 23:46:38:495',29,1.254777,-0.814574,-0.127879,-0.477619,0.647484,-0.497952,-0.041745,0.076897,0.068748,0.075808,0.189892,0.337799,0.154718,1
